image_name,main_subject,confidence,detected_objects
2014-11-09_00-47-16_UTC.jpg,bicycle-built-for-two,0.31,
2023-11-01_00-07-50_UTC_1.jpg,hand-held computer,0.15,
2019-03-12_23-50-25_UTC.jpg,shower cap,0.33,
2014-10-05_04-31-56_UTC.jpg,shovel,0.44,
2019-11-20_03-09-11_UTC.jpg,power drill,0.46,
2018-03-03_03-39-41_UTC.jpg,brain coral,0.20,
2014-06-04_03-38-51_UTC.jpg,ladle,0.29,
2018-07-11_23-24-14_UTC_1.jpg,vending machine,0.11,
2023-09-26_16-37-52_UTC.jpg,trailer truck,0.50,
2014-11-19_23-22-30_UTC.jpg,whistle,0.40,
2015-08-04_21-48-29_UTC.jpg,bell cote,0.20,
2015-11-20_07-01-46_UTC.jpg,shower cap,0.76,
2015-03-08_23-11-46_UTC.jpg,traffic light,0.13,
2015-04-23_23-07-24_UTC.jpg,traffic light,0.37,
2015-12-08_22-46-43_UTC.jpg,shovel,0.58,
2014-10-05_04-26-42_UTC.jpg,shovel,0.28,
2015-06-18_23-23-57_UTC.jpg,china cabinet,0.25,
2015-10-04_04-43-05_UTC.jpg,vending machine,0.07,
2018-03-29_22-16-58_UTC.jpg,whistle,0.39,
2014-06-03_23-39-32_UTC.jpg,marimba,0.15,
2018-08-26_17-20-28_UTC.jpg,lens cap,0.20,
2019-01-23_00-07-08_UTC_1.jpg,trailer truck,0.28,
2015-01-10_05-43-13_UTC.jpg,marimba,0.83,
2018-06-28_04-52-08_UTC.jpg,marimba,0.73,
2015-10-12_01-05-04_UTC.jpg,power drill,0.22,
2024-12-22_00-07-09_UTC.jpg,traffic light,0.42,
2014-05-30_00-03-37_UTC.jpg,hook,0.17,
2015-10-18_05-26-30_UTC.jpg,traffic light,0.10,
2015-02-18_00-03-33_UTC.jpg,traffic light,0.42,
2018-03-13_05-02-06_UTC.jpg,whistle,0.25,
2015-07-14_21-48-33_UTC.jpg,traffic light,0.62,
2016-08-27_15-10-12_UTC.jpg,marimba,0.10,
2015-01-14_22-09-15_UTC.jpg,marimba,0.47,
2015-04-18_16-50-32_UTC.jpg,traffic light,0.62,
2015-08-24_05-48-06_UTC.jpg,trailer truck,0.20,
2015-03-10_18-00-12_UTC.jpg,fire engine,0.17,
2018-07-08_16-16-07_UTC_1.jpg,shovel,0.43,
2014-12-08_23-35-11_UTC.jpg,traffic light,0.74,
2015-03-15_01-52-26_UTC.jpg,traffic light,0.87,
2016-05-05_14-40-36_UTC.jpg,traffic light,0.43,
2018-08-01_02-37-44_UTC.jpg,ski,0.27,
2019-03-11_16-37-01_UTC.jpg,wig,0.20,
2023-11-15_16-53-54_UTC_1.jpg,dome,0.97,
2019-01-24_17-33-25_UTC.jpg,bobsled,0.11,
2016-04-25_03-42-44_UTC.jpg,sock,0.10,
